ticker_db,yf_ticker_corr,yf_ok,precio_yf,nombre,bolsa,tipo,isin,estatus
LOCKXPI22-2,LOCKXPI22-2.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI25-4,LOCKXPI25-4.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
LOCKXPI23-6,LOCKXPI23-6.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI23-5,LOCKXPI23-5.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI23-4,LOCKXPI23-4.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI23-3,LOCKXPI23-3.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI23-2,LOCKXPI23-2.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI23,LOCKXPI23.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI22-6,LOCKXPI22-6.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI22-5,LOCKXPI22-5.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI22-4,LOCKXPI22-4.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI22-3,LOCKXPI22-3.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
LOCKXPI22,LOCKXPI22.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
MEDICAB,MEDICAB.MX,SI,62.0,"MEDICA SUR, S.A.B. DE C.V.",BMV,Acción,MXP510121215,ACTIVA
MEGACPO,MEGACPO.MX,SI,66.79,"MEGACABLE HOLDINGS, S.A.B. DE C.V.",BMV,Acción,MX01ME090003,ACTIVA
MEXCAPA2,MEXCAPA2.MX,NO,,"MEXCAP, S.A. DE C.V. SINCA",BMV,Acción,,ACTIVA
MEXCAPA1,MEXCAPA1.MX,NO,,"MEXCAP, S.A. DE C.V. SINCA",BMV,Acción,,ACTIVA
MEXCAPB2,MEXCAPB2.MX,NO,,"MEXCAP, S.A. DE C.V. SINCA",BMV,Acción,,ACTIVA
MEXCAPB1,MEXCAPB1.MX,NO,,"MEXCAP, S.A. DE C.V. SINCA",BMV,Acción,,ACTIVA
MEXPLUSA1,MEXPLUSA1.MX,NO,,"MEXPLUS, S.A. DE C.V. SINCA",BMV,Acción,,ACTIVA
MEXPLUSA2,MEXPLUSA2.MX,NO,,"MEXPLUS, S.A. DE C.V. SINCA",BMV,Acción,,ACTIVA
MEXPLUSB,MEXPLUSB.MX,NO,,"MEXPLUS, S.A. DE C.V. SINCA",BMV,Acción,,ACTIVA
MFRISCOA-1,MFRISCOA-1.MX,SI,13.5,"MINERA FRISCO, S.A.B. DE C.V.",BMV,Acción,MX01MF010000,ACTIVA
MINSAB,MINSAB.MX,SI,10.1,"GRUPO MINSA, S.A.B. DE C.V.",BMV,Acción,MXP510501119,ACTIVA
MIRAPI16,MIRAPI16.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RMI0C0008,ACTIVA
MOTAPI18,MOTAPI18.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
MRP2CK16,MRP2CK16.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RMR010005,ACTIVA
MRPCK12,MRPCK12.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RMR000006,ACTIVA
MVPV23,MVPV23.MX,SI,3136.0,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RMV0G0007,ACTIVA
NEMAKA,NEMAKA.MX,SI,3.24,"NEMAK, S.A.B. DE C.V.",BMV,Acción,MX01NE000001,ACTIVA
NEXX25,NEXX25.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BIVA,Acción,MX1RNE050005,ACTIVA
NEXX25-2,NEXX25-2.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BIVA,Acción,MX1RNE050013,ACTIVA
NEXX6CK13,NEXX6CK13.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A., INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BIVA,Acción,MX1RNE020008,ACTIVA
NGCFICK15,NGCFICK15.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RNG000008,ACTIVA
NGPE2CK17,NGPE2CK17.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RNG010007,ACTIVA
NIKEPI25-2,NIKEPI25-2.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
NIKEPI25-8,NIKEPI25-8.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
NIKEPI25-7,NIKEPI25-7.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
NIKEPI25-6,NIKEPI25-6.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
NIKEPI25-5,NIKEPI25-5.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
NIKEPI25-4,NIKEPI25-4.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
NIKEPI25-3,NIKEPI25-3.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
NIKEPI25,NIKEPI25.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
NIKEPI18,NIKEPI18.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RAA0D0009,ACTIVA
NUTRISAA,NUTRISAA.MX,SI,4.17,"GRUPO NUTRISA, S.A.B. DE C.V.",BMV,Acción,MX01NU070004,ACTIVA
NXXMFCK18,NXXMFCK18.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A., INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BIVA,Acción,MX1RNX000007,ACTIVA
OAKPI21D,OAKPI21D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
ODOCK18,ODOCK18.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1ROD010009,ACTIVA
OMAB,OMAB.MX,SI,263.16,"GRUPO AEROPORTUARIO DEL CENTRO NORTE, S.A.B. DE C.V.",BMV,Acción,MX01OM000018,ACTIVA
ORBIA*,ORBIA.MX,SI,20.32,"ORBIA ADVANCE CORPORATION, S.A.B. DE C.V.",BMV,Acción,MX01OR010004,ACTIVA
PASAB,PASAB.MX,SI,38.75,"PROMOTORA AMBIENTAL, S.A.B. DE C.V.",BMV,Acción,MX01PA0B0006,ACTIVA
PBFF1CK12,PBFF1CK12.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,MX1RPB030008,ACTIVA
PENOLES*,PENOLES.MX,NO,,"INDUSTRIAS PEÑOLES, S. A.B. DE C. V.",BMV,Acción,MXP554091415,ACTIVA
PGGVPI18D,PGGVPI18D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RPG000006,ACTIVA
PGGVPI21D,PGGVPI21D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
PINFRAL,PINFRAL.MX,SI,200.55,"PROMOTORA Y OPERADORA DE INFRAESTRUCTURA, S.A.B. DE C.V.",BMV,Acción,MX01PI000013,ACTIVA
PINFRA*,PINFRA.MX,SI,283.71,"PROMOTORA Y OPERADORA DE INFRAESTRUCTURA, S.A.B. DE C.V.",BMV,Acción,MX01PI000005,ACTIVA
PLA2CK17,PLA2CK17.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RPL0Q0009,ACTIVA
PLA3CK22,PLA3CK22.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RPL100007,ACTIVA
PLANI*,PLANI.MX,SI,14.2,"PLANIGRUPO LATAM, S.A.B. DE C.V.",BMV,Acción,MX01PL0P0007,ACTIVA
PLANICK12,PLANICK12.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RPL040005,ACTIVA
PMCAPCK14,PMCAPCK14.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RPM050003,ACTIVA
PMCAPCK20,PMCAPCK20.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
PMCPCC25-2D,PMCPCC25-2D.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER",BMV,Acción,,ACTIVA
PMCPCC25D,PMCPCC25D.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER",BMV,Acción,,ACTIVA
POCHTECB,POCHTECB.MX,SI,6.25,"GRUPO POCHTECA, S.A.B. DE C.V.",BMV,Acción,MX01PO020005,ACTIVA
POSADASA,POSADASA.MX,SI,28.16,"GRUPO POSADAS, S.A.B. DE C.V.",BMV,Acción,MXP791641105,ACTIVA
PRCERPI21D,PRCERPI21D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
PRCERPI23D,PRCERPI23D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
PRCERPI26,PRCERPI26.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO ACTINVER",BMV,Acción,,ACTIVA
PROCORPB,PROCORPB.MX,SI,5.55,"PROCORP, S.A.B. DE C.V.",BMV,Acción,MXP791441043,ACTIVA
PV*,PV.MX,SI,8.4,PEÑA VERDE S.A.B.,BMV,Acción,MX01PV000008,ACTIVA
Q*,Q.MX,SI,168.0,"QUÁLITAS CONTROLADORA, S.A.B. DE C.V.",BMV,Acción,MX01Q0000008,ACTIVA
QTZALPI24,QTZALPI24.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-9,QTZALPI23-9.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-8,QTZALPI23-8.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-7,QTZALPI23-7.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-6,QTZALPI23-6.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-5,QTZALPI23-5.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-4,QTZALPI23-4.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-2,QTZALPI23-2.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-3,QTZALPI23-3.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI18,QTZALPI18.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23,QTZALPI23.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-10,QTZALPI23-10.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-12,QTZALPI23-12.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-13,QTZALPI23-13.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
QTZALPI23-11,QTZALPI23-11.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
RA,RA.MX,SI,160.95,"REGIONAL, S.A.B. DE C.V.",BMV,Acción,MX01R0000006,ACTIVA
RCOCB09,RCOCB09.MX,NO,,"THE BANK OF NEW YORK MELLON, S.A., INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RRC010007,ACTIVA
RLHA,RLHA.MX,SI,16.5,"RLH PROPERTIES, S.A.B. DE C.V.",BMV,Acción,MX01RL000016,ACTIVA
RRGCK18,RRGCK18.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RRR000001,ACTIVA
RRGCK21,RRGCK21.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
RSRENCK17,RSRENCK17.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,MX1RRS020008,ACTIVA
SCGCK16,SCGCK16.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RSC1V0004,ACTIVA
SIGMAFA,SIGMAFA.MX,SI,19.3,"ALFA, S.A.B. DE C.V.",BMV,Acción,MXP000511016,ACTIVA
SIMECB,SIMECB.MX,SI,172.31,"GRUPO SIMEC, S.A.B. DE C.V.",BMV,Acción,MXP4984U1083,ACTIVA
SIRENCK17,SIRENCK17.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RSI090002,ACTIVA
SITES1A-1,SITES1A-1.MX,SI,15.36,"OPERADORA DE SITES MEXICANOS, S.A.B. DE C.V.",BMV,Acción,MX01SI0C0002,ACTIVA
SORIANAB,SORIANAB.MX,SI,38.0,"ORGANIZACION SORIANA, S.A.B. DE C.V.",BMV,Acción,MXP8728U1671,ACTIVA
SPORTS,SPORTS.MX,SI,8.55,"GRUPO SPORTS WORLD, S.A.B. DE C.V.",BMV,Acción,MX01SP020001,ACTIVA
SRE*,SRE.MX,SI,1655.28,SEMPRA ENERGY,BMV,Acción,US8168511090,ACTIVA
STEPCC21,STEPCC21.MX,NO,,"BANCO MONEX, S.A., INSTITUCION DE BANCA MULTIPLE, MONEX GRUPO FINANCIERO ",BMV,Acción,,ACTIVA
STEPSCC24,STEPSCC24.MX,NO,,"BANCO MONEX, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE, MONEX GRUPO FINANCIERO",BIVA,Acción,MX1RST2E0008,ACTIVA
SVPI20-8,SVPI20-8.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RSV040083,ACTIVA
SVPI20-7,SVPI20-7.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RSV040075,ACTIVA
SVPI20-6,SVPI20-6.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RSV040067,ACTIVA
SVPI20-5,SVPI20-5.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RSV040059,ACTIVA
SVPI20-3,SVPI20-3.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RSV040034,ACTIVA
SVPI20-4,SVPI20-4.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RSV040042,ACTIVA
SVPI19,SVPI19.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RSV040000,ACTIVA
SVPI20-2,SVPI20-2.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RSV040026,ACTIVA
SVPI20,SVPI20.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RSV040018,ACTIVA
TEAKCPO,TEAKCPO.MX,SI,0.138,"PROTEAK UNO, S.A.B. DE C.V.",BMV,Acción,MX01TE0A0001,ACTIVA
THERMCK17,THERMCK17.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RTH000001,ACTIVA
THERMCK19,THERMCK19.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
TLEVISACPO,TLEVISACPO.MX,SI,10.23,"GRUPO TELEVISA, S.A.B.",BMV,Acción,MXP4987V1378,ACTIVA
TMMA,TMMA.MX,SI,6.85,"GRUPO TMM, S.A.",BMV,Acción,MX01TM000005,ACTIVA
TRAXIONA,TRAXIONA.MX,SI,13.3,GRUPO TRAXIÓN S.A.B DE C.V.,BMV,Acción,MX01TR0H0006,ACTIVA
TS*,TS.MX,SI,365.0,TENARIS S.A.,BMV,Acción,LU2598331598,ACTIVA
TUCERPI21,TUCERPI21.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RTU070007,ACTIVA
TUCK18,TUCK18.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RTU050009,ACTIVA
VALUEGFO,VALUEGFO.MX,SI,67.99,"VALUE GRUPO FINANCIERO, S.A.B. DE C.V.",BMV,Acción,MXP800761019,ACTIVA
VASCONI*,VASCONI.MX,SI,0.739,GRUPO VASCONIA S.A.B.,BMV,Acción,MX01VA110002,ACTIVA
VESTA*,VESTA.MX,SI,63.26,"CORPORACIÓN INMOBILIARIA VESTA, S.A.B. DE C.V.",BMV,Acción,MX01VE0M0003,ACTIVA
VEXCK17,VEXCK17.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RVE0T0009,ACTIVA
VINTE*,VINTE.MX,SI,35.5,"VINTE VIVIENDAS INTEGRALES, S.A.B. DE C.V.",BMV,Acción,MX01VI050002,ACTIVA
VISTAA,VISTAA.MX,SI,1000.0,"VISTA OIL & GAS, S.A.B. DE C.V.",BMV,Acción,MX01VI0C0006,ACTIVA
VITROA,VITROA.MX,SI,5.8,"VITRO, S.A.B. DE C.V.",BMV,Acción,MXP9802B1093,ACTIVA
VMZCK17,VMZCK17.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RVM000000,ACTIVA
VOLARA,VOLARA.MX,SI,14.91,"CONTROLADORA VUELA COMPAÑÍA DE AVIACIÓN, S.A.B. DE C.V.",BMV,Acción,MX01VO000009,ACTIVA
VTX2CK15,VTX2CK15.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,MX1RVT010002,ACTIVA
WACERPI21D,WACERPI21D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
WACERPI24-2D,WACERPI24-2D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
WACERPI24-3D,WACERPI24-3D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
WACERPI24D,WACERPI24D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
WALMEX*,WALMEX.MX,SI,55.9,"WAL - MART DE MEXICO, S.A.B. DE C.V.",BMV,Acción,MX01WA000038,ACTIVA
WSMX2CK16,WSMX2CK16.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RWS010002,ACTIVA
WSMX2CK18,WSMX2CK18.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
WSMX2CK19,WSMX2CK19.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RWS010028,ACTIVA
WSMX3CK21D,WSMX3CK21D.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RWS020001,ACTIVA
WSMXCK13,WSMXCK13.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RWS000003,ACTIVA
